"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINOPTERYGII","82","11","93","128","8","229","707","1,084","1,344","3,135","0","709","14,493","4,581","23,011"
"AMPHIBIA","34","2","36","151","1","188","681","1,103","731","2,515","0","414","3,174","1,177","7,316"
"ANTHOZOA","0","0","0","2","0","2","7","26","202","235","0","175","293","163","866"
"ARACHNIDA","9","0","9","21","0","30","73","107","71","251","0","23","94","64","441"
"ASTEROIDEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"AVES","159","5","164","22","0","186","231","423","755","1,409","0","1,002","8,540","47","11,162"
"BIVALVIA","32","0","32","15","0","47","84","69","61","214","4","58","340","168","816"
"BRANCHIOPODA","0","0","0","0","0","0","8","13","22","43","1","1","1","1","47"
"CEPHALASPIDOMORPHI","1","0","1","1","0","2","2","4","2","8","0","3","23","3","38"
"CEPHALOPODA","0","0","0","0","0","0","1","2","2","5","0","2","324","419","750"
"CHILOPODA","0","0","0","2","0","2","3","6","1","10","0","0","1","0","11"
"CHONDRICHTHYES","0","0","0","3","0","3","89","124","180","393","0","124","534","173","1,224"
"CLITELLATA","2","0","2","4","0","6","6","13","8","27","0","12","74","107","222"
"COLLEMBOLA","0","0","0","2","0","2","2","0","2","4","0","4","0","1","9"
"DIPLOPODA","3","0","3","4","0","7","35","32","15","82","0","66","52","41","244"
"ECHINOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ENOPLA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"GASTROPODA","267","14","281","134","2","417","632","527","1,004","2,163","0","672","2,680","1,648","7,444"
"HEXANAUPLIA","1","0","1","0","0","1","1","0","24","25","8","0","0","3","37"
"HOLOTHUROIDEA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"HYDROZOA","0","0","0","1","0","1","1","2","2","5","0","1","8","2","16"
"INSECTA","59","1","60","80","0","140","412","949","930","2,291","3","700","5,986","3,121","12,161"
"MALACOSTRACA","7","1","8","18","1","27","141","161","311","613","0","72","1,204","1,130","3,027"
"MAMMALIA","85","2","87","29","0","116","232","549","556","1,337","0","375","3,332","838","5,969"
"MAXILLOPODA","1","0","1","0","0","1","6","0","47","53","0","0","0","19","73"
"MEROSTOMATA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"MONOPLACOPHORA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINI","0","0","0","0","0","0","1","2","6","9","0","2","35","30","76"
"OSTRACODA","2","0","2","0","0","2","2","0","9","11","0","0","0","0","13"
"POLYCHAETA","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2"
"POLYPLACOPHORA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"REPTILIA","32","2","34","48","0","82","433","787","625","1,845","2","565","6,222","1,482","10,150"
"SARCOPTERYGII","0","0","0","0","0","0","1","1","1","3","0","0","4","0","7"
"SOLENOGASTRES","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"TURBELLARIA","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"UDEONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"PHAEOPHYCEAE","0","0","0","4","0","4","4","1","1","6","0","0","0","9","15"
"AGARICOMYCETES","0","0","0","2","0","2","14","64","123","201","0","54","170","40","465"
"ARTHONIOMYCETES","0","0","0","0","0","0","0","3","0","3","0","0","0","0","3"
"DOTHIDEOMYCETES","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"EUROTIOMYCETES","0","0","0","0","0","0","0","0","2","2","0","0","1","3","6"
"GEOGLOSSOMYCETES","0","0","0","0","0","0","0","0","2","2","0","1","0","1","4"
"LECANOROMYCETES","0","0","0","1","0","1","14","32","15","61","0","1","23","0","85"
"LEOTIOMYCETES","0","0","0","0","0","0","0","1","1","2","0","1","4","1","8"
"NOT ASSIGNED","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PEZIZOMYCETES","0","0","0","0","0","0","1","1","3","5","0","4","1","2","12"
"SORDARIOMYCETES","0","0","0","0","0","0","2","0","1","3","0","0","1","4","8"
"USTILAGINOMYCETES","0","0","0","0","0","0","0","0","2","2","0","0","1","0","3"
"ANDREAEOPSIDA","0","0","0","0","0","0","0","1","1","2","0","0","0","1","3"
