"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"AGARICOMYCETES","0","0","0","2","0","2","14","64","123","201","0","54","170","40","465"
"ARTHONIOMYCETES","0","0","0","0","0","0","0","3","0","3","0","0","0","0","3"
"DOTHIDEOMYCETES","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"EUROTIOMYCETES","0","0","0","0","0","0","0","0","2","2","0","0","1","3","6"
"GEOGLOSSOMYCETES","0","0","0","0","0","0","0","0","2","2","0","1","0","1","4"
"LECANOROMYCETES","0","0","0","1","0","1","14","32","15","61","0","1","23","0","85"
"LEOTIOMYCETES","0","0","0","0","0","0","0","1","1","2","0","1","4","1","8"
"NOT ASSIGNED","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PEZIZOMYCETES","0","0","0","0","0","0","1","1","3","5","0","4","1","2","12"
"SORDARIOMYCETES","0","0","0","0","0","0","2","0","1","3","0","0","1","4","8"
"USTILAGINOMYCETES","0","0","0","0","0","0","0","0","2","2","0","0","1","0","3"
"Total","0","0","0","3","0","3","32","101","151","284","0","61","201","51","597"
