"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ALLOGASTROPODA","0","0","0","0","0","0","3","3","5","11","0","3","14","9","37"
"ARCHITAENIOGLOSSA","6","0","6","16","0","22","57","41","50","148","0","42","173","109","478"
"CYCLONERITIDA","0","0","0","0","0","0","8","8","6","22","0","5","52","32","111"
"ELLOBIIDA","0","0","0","0","0","0","0","0","2","2","0","7","49","14","72"
"HYGROPHILA","9","0","9","5","0","14","17","22","26","65","0","15","223","199","511"
"HYPSOGASTROPODA","0","0","0","0","0","0","2","12","7","21","0","3","2","0","26"
"LEPETELLIDA","0","0","0","0","0","0","14","7","12","33","0","16","26","8","83"
"LITTORINIMORPHA","36","0","36","52","0","88","193","146","322","661","0","118","325","576","1,716"
"NEOGASTROPODA","0","0","0","0","0","0","5","14","32","51","0","31","480","113","675"
"NEOMPHALIDA","0","0","0","0","0","0","8","1","10","19","0","15","4","0","38"
"NUDIBRANCHIA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"PATELLIDA","2","0","2","0","0","2","1","1","2","4","0","2","2","0","10"
"PYLOPULMONATA","0","0","0","0","0","0","0","0","1","1","0","0","4","9","14"
"SEGUENZIIDA","0","0","0","0","0","0","3","0","2","5","0","1","0","0","6"
"SIPHONARIIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"SORBEOCONCHA","31","3","34","11","0","45","46","48","52","146","0","24","137","92","433"
"STYLOMMATOPHORA","183","11","194","50","2","246","269","221","472","962","0","389","1,182","485","3,212"
"SYSTELLOMMATOPHORA","0","0","0","0","0","0","0","1","0","1","0","0","2","0","3"
"TROCHIDA","0","0","0","0","0","0","5","2","3","10","0","1","4","2","17"
"Total","267","14","281","134","2","417","632","527","1,004","2,163","0","672","2,680","1,648","7,444"
