"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACIPENSERIFORMES","1","1","2","1","0","3","17","3","5","25","0","0","0","0","27"
"ALBULIFORMES","0","0","0","0","0","0","0","0","1","1","0","1","1","7","10"
"AMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ANGUILLIFORMES","0","0","0","0","0","0","1","3","4","8","0","6","447","107","568"
"ATELEOPODIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","5","11"
"ATHERINIFORMES","1","0","1","4","3","8","48","55","45","148","0","30","111","38","328"
"AULOPIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","223","58","282"
"BATRACHOIDIFORMES","0","0","0","0","0","0","0","2","7","9","0","0","31","7","47"
"BELONIFORMES","0","0","0","3","0","3","7","9","7","23","0","14","108","22","167"
"BERYCIFORMES","0","0","0","0","0","0","0","0","2","2","0","0","111","29","142"
"CETOMIMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","12","28"
"CHARACIFORMES","0","0","0","3","0","3","17","62","69","148","0","51","946","203","1,348"
"CLUPEIFORMES","0","0","0","2","0","2","4","12","14","30","0","4","268","119","421"
"CYPRINIFORMES","43","1","44","32","0","76","161","300","339","800","0","170","1,592","674","3,280"
"CYPRINODONTIFORMES","12","7","19","9","4","32","106","154","170","430","0","51","419","161","1,080"
"ELOPIFORMES","0","0","0","0","0","0","0","0","1","1","0","0","3","5","9"
"ESOCIFORMES","0","0","0","0","0","0","0","0","1","1","0","0","11","0","12"
"GADIFORMES","0","0","0","0","0","0","1","1","2","4","0","1","112","38","155"
"GASTEROSTEIFORMES","1","0","1","0","0","1","1","1","2","4","0","2","19","5","31"
"GOBIESOCIFORMES","0","0","0","0","1","1","1","1","10","12","0","0","66","24","102"
"GOBIIFORMES","0","0","0","7","0","7","37","58","64","159","0","39","894","290","1,382"
"GONORYNCHIFORMES","0","0","0","0","0","0","0","1","4","5","0","0","18","11","34"
"GYMNOTIFORMES","0","0","0","1","0","1","7","1","14","22","0","4","80","30","136"
"LAMPRIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","22","3","25"
"LEPISOSTEIFORMES","0","0","0","0","0","0","1","0","0","1","0","0","6","0","7"
"LOPHIIFORMES","0","0","0","0","0","0","3","4","0","7","0","1","229","103","340"
"MUGILIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","40","12","53"
"MYCTOPHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","234","24","258"
"NOTACANTHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","13","0","13"
"OPHIDIIFORMES","0","0","0","0","0","0","1","5","6","12","0","2","336","189","539"
"OSMERIFORMES","1","0","1","0","0","1","26","25","9","60","0","0","108","29","198"
"OSTEOGLOSSIFORMES","1","0","1","0","0","1","0","6","16","22","0","4","143","41","211"
"PERCIFORMES","6","0","6","53","0","59","166","183","317","666","0","162","4,622","881","6,337"
"PERCOPSIFORMES","0","0","0","0","0","0","1","0","0","1","0","3","5","0","9"
"PLEURONECTIFORMES","0","0","0","0","0","0","0","2","10","12","0","7","435","318","772"
"POLYMIXIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","7","3","10"
"POLYPTERIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","12","1","14"
"SACCOPHARYNGIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","18","28"
"SALMONIFORMES","13","2","15","2","0","17","21","20","33","74","0","6","41","20","156"
"SCORPAENIFORMES","1","0","1","0","0","1","4","5","8","17","0","7","386","115","526"
"SILURIFORMES","2","0","2","10","0","12","72","154","156","382","0","129","1,456","671","2,640"
"STEPHANOBERYCIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","50","29","79"
"STOMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","333","107","440"
"SYNBRANCHIFORMES","0","0","0","1","0","1","2","6","6","14","0","4","63","18","99"
"SYNGNATHIFORMES","0","0","0","0","0","0","1","3","14","18","0","2","184","96","300"
"TETRAODONTIFORMES","0","0","0","0","0","0","1","7","8","16","0","7","265","56","344"
"ZEIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","2","12"
"Total","82","11","93","128","8","229","707","1,084","1,344","3,135","0","709","14,493","4,581","23,011"
