"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ARCHAEOGNATHA","0","0","0","0","0","0","0","1","1","2","0","0","1","0","3"
"BLATTODEA","1","0","1","6","0","7","8","7","0","15","0","0","8","2","26"
"COLEOPTERA","16","0","16","11","0","27","85","183","114","382","0","141","592","679","1,810"
"DERMAPTERA","1","0","1","0","0","1","3","1","0","4","0","0","1","0","6"
"DIPTERA","4","0","4","1","0","5","22","132","36","190","0","37","88","45","364"
"EPHEMEROPTERA","2","0","2","0","0","2","0","1","0","1","0","0","0","0","3"
"GRYLLOBLATTODEA","0","0","0","0","0","0","1","1","2","4","0","1","0","0","5"
"HEMIPTERA","2","0","2","3","0","5","15","20","9","44","0","8","6","0","60"
"HYMENOPTERA","0","0","0","4","0","4","12","20","155","187","0","27","106","323","643"
"ISOPTERA","0","0","0","0","0","0","2","0","0","2","0","0","2","0","4"
"LEPIDOPTERA","21","0","21","12","0","33","46","92","102","240","0","85","1,121","98","1,565"
"MANTODEA","2","0","2","0","0","2","0","1","3","4","0","3","13","16","38"
"NEUROPTERA","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"ODONATA","1","0","1","18","0","19","95","298","282","675","0","221","3,389","1,730","6,016"
"ORTHOPTERA","3","1","4","24","0","28","115","190","222","527","3","166","590","205","1,495"
"PHASMIDA","1","0","1","1","0","2","5","1","2","8","0","10","62","23","104"
"PHTHIRAPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"PLECOPTERA","1","0","1","0","0","1","1","1","2","4","0","0","2","0","7"
"PSOCOPTERA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"THYSANOPTERA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"TRICHOPTERA","4","0","4","0","0","4","0","0","0","0","0","1","0","0","5"
"Total","59","1","60","80","0","140","412","949","930","2,291","3","700","5,986","3,121","12,161"
