"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACCIPITRIFORMES","1","0","1","0","0","1","13","20","24","57","0","31","162","1","252"
"ANSERIFORMES","7","0","7","0","0","7","6","8","13","27","0","15","128","0","177"
"BUCEROTIFORMES","1","0","1","0","0","1","3","5","17","25","0","5","42","0","73"
"CAPRIMULGIFORMES","2","0","2","3","0","5","12","19","23","54","0","39","496","11","602"
"CARIAMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"CATHARTIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","5","0","7"
"CHARADRIIFORMES","7","0","7","3","0","10","11","15","25","51","0","46","278","2","384"
"CICONIIFORMES","0","0","0","0","0","0","0","4","1","5","0","3","12","0","20"
"COLIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6"
"COLUMBIFORMES","16","1","17","0","0","17","13","18","33","64","0","51","237","1","370"
"CORACIIFORMES","0","1","1","0","0","1","4","2","13","19","0","29","138","1","188"
"CUCULIFORMES","2","0","2","0","0","2","2","2","8","12","0","8","131","0","153"
"EURYPYGIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2"
"FALCONIFORMES","2","0","2","0","0","2","0","2","6","8","0","6","50","0","66"
"GALLIFORMES","1","1","2","0","0","2","11","20","45","76","0","48","183","0","309"
"GAVIIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"GRUIFORMES","24","0","24","0","0","24","9","11","29","49","0","14","104","2","193"
"LEPTOSOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MESITORNITHIFORMES","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3"
"MUSOPHAGIFORMES","0","0","0","0","0","0","0","1","0","1","0","2","21","0","24"
"OPISTHOCOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OTIDIFORMES","0","0","0","0","0","0","3","1","4","8","0","7","11","0","26"
"PASSERIFORMES","60","1","61","9","0","70","89","201","351","641","0","522","5,411","24","6,659"
"PELECANIFORMES","6","0","6","0","0","6","4","9","6","19","0","8","83","0","116"
"PHAETHONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"PHOENICOPTERIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","2","0","6"
"PICIFORMES","1","0","1","1","0","2","3","10","14","27","0","42","414","1","485"
"PODICIPEDIFORMES","3","0","3","0","0","3","1","3","1","5","0","1","14","0","23"
"PROCELLARIIFORMES","2","0","2","2","0","4","17","20","29","66","0","20","57","2","147"
"PSITTACIFORMES","16","1","17","3","0","20","24","29","55","108","0","54","242","0","421"
"PTEROCLIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","0","16"
"SPHENISCIFORMES","0","0","0","0","0","0","0","5","4","9","0","2","7","0","18"
"STRIGIFORMES","5","0","5","1","0","6","4","11","28","43","0","27","167","2","244"
"STRUTHIONIFORMES","2","0","2","0","0","2","0","1","11","12","0","7","42","0","63"
"SULIFORMES","1","0","1","0","0","1","1","5","9","15","0","3","35","0","54"
"TROGONIFORMES","0","0","0","0","0","0","0","0","1","1","0","8","34","0","43"
"Total","159","5","164","22","0","186","231","423","755","1,409","0","1,002","8,540","47","11,162"
