"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ARCIDA","0","0","0","0","0","0","0","0","1","1","0","0","3","0","4"
"CARDIIDA","0","0","0","0","0","0","0","0","4","4","4","0","1","0","9"
"LUCINIDA","0","0","0","0","0","0","1","1","0","2","0","0","1","0","3"
"MYTILIDA","0","0","0","0","0","0","2","4","6","12","0","0","4","1","17"
"OSTREIDA","0","0","0","0","0","0","0","0","0","0","0","0","6","14","20"
"PECTINIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2"
"PTERIOIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"SOLEMYIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"UNIONIDA","32","0","32","12","0","44","71","58","42","171","0","50","203","83","539"
"VENERIDA","0","0","0","3","0","3","7","6","7","20","0","8","122","69","219"
"Total","32","0","32","15","0","47","84","69","61","214","4","58","340","168","816"
