"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Argentina","39","54","29","33","83","0","19","73","21","0","351"
"Bolivia, Plurinational States of","24","47","14","53","9","2","1","298","0","0","448"
"Brazil","97","155","94","36","360","22","70","1,346","36","0","2,216"
"Chile","18","34","28","34","41","1","13","91","19","0","279"
"Colombia","63","102","39","290","183","4","60","918","6","0","1,665"
"Ecuador","49","86","93","183","99","49","27","2,029","2","6","2,623"
"Falkland Islands (Malvinas)","4","8","0","0","7","0","0","5","6","0","30"
"French Guiana","8","5","7","5","61","0","1","43","0","0","130"
"Guyana","11","11","6","21","68","0","1","82","1","0","201"
"Paraguay","11","28","12","1","0","0","2","22","2","0","78"
"Peru","51","93","33","136","90","4","7","568","1","0","983"
"Suriname","9","5","6","1","63","0","1","45","0","0","130"
"Uruguay","9","22","7","4","71","0","3","22","1","0","139"
"Venezuela, Bolivarian Republic of","37","43","32","128","105","1","41","463","2","0","852"
