"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Bangladesh","39","36","30","1","75","0","7","35","0","0","223"
"Bhutan","28","19","10","2","5","0","1","55","2","0","122"
"British Indian Ocean Territory","0","1","2","0","25","0","70","0","0","0","98"
"Brunei Darussalam","37","39","10","2","61","0","18","182","0","0","349"
"Cambodia","44","32","23","8","94","1","81","51","0","0","334"
"Disputed Territory","0","0","0","0","20","0","1","0","0","0","21"
"India","99","92","106","76","290","7","133","527","3","0","1,333"
"Indonesia","212","161","77","28","366","42","331","977","2","0","2,196"
"Lao People's Democratic Republic","49","30","35","10","56","16","7","80","1","0","284"
"Malaysia","80","67","60","36","183","45","279","1,317","4","0","2,071"
"Maldives","2","0","3","0","41","0","45","0","0","0","91"
"Myanmar","54","57","38","5","98","3","74","110","0","0","439"
"Nepal","30","38","17","4","11","1","2","24","2","0","129"
"Philippines","42","91","40","27","143","3","345","903","1","0","1,595"
"Singapore","17","23","8","0","68","1","176","69","0","0","362"
"Sri Lanka","30","14","113","74","135","0","153","299","0","0","818"
"Thailand","64","66","42","11","153","16","198","232","1","0","783"
"Timor-Leste","6","7","3","0","34","0","1","7","0","0","58"
"Viet Nam","63","51","75","74","141","30","159","308","0","0","901"
