"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Angola","24","33","10","0","82","7","4","68","0","0","228"
"Benin","16","14","8","1","73","3","1","17","0","0","133"
"Botswana","11","18","1","0","2","0","0","3","0","0","35"
"Burkina Faso","12","15","4","0","3","0","0","6","0","0","40"
"Burundi","16","18","1","1","17","3","3","159","0","0","218"
"Cabo Verde","4","7","6","0","47","14","0","51","0","0","129"
"Cameroon","48","31","24","60","148","14","14","888","0","0","1,227"
"Central African Republic","20","18","7","0","3","2","0","50","0","0","100"
"Chad","16","20","5","0","1","6","0","7","0","0","55"
"Comoros","6","13","9","0","24","0","81","15","0","0","148"
"Congo","18","6","8","1","83","7","0","111","0","0","234"
"Congo, The Democratic Republic of the","48","40","18","13","128","45","9","440","0","0","741"
"Côte d'Ivoire","34","26","9","7","89","8","2","159","0","0","334"
"Djibouti","11","15","1","0","40","1","56","3","0","0","127"
"Equatorial Guinea","24","3","8","6","82","2","2","165","0","0","292"
"Eritrea","16","22","7","0","50","1","57","7","0","0","160"
"Eswatini","9","15","1","0","5","0","3","14","0","0","47"
"Ethiopia","40","35","4","12","16","4","11","107","0","0","229"
"Gabon","18","5","8","5","97","2","2","468","0","0","605"
"Gambia","10","20","6","0","80","3","0","6","0","0","125"
"Ghana","23","25","9","9","87","9","3","128","0","0","293"
"Guinea","32","22","10","7","119","6","5","221","0","0","422"
"Guinea-Bissau","15","15","9","0","70","3","0","12","0","0","124"
"Kenya","32","45","16","15","99","20","73","382","0","0","682"
"Lesotho","4","9","0","0","1","0","2","5","0","0","21"
"Liberia","26","14","9","2","93","5","7","138","0","0","294"
"Madagascar","133","37","139","145","127","35","248","2,894","0","0","3,758"
"Malawi","10","20","4","5","37","7","8","59","0","0","150"
"Mali","14","20","4","0","1","5","0","29","0","0","73"
"Mauritania","18","24","6","0","78","3","1","1","0","0","131"
"Mauritius","7","12","15","0","30","33","93","103","0","0","293"
"Mayotte","2","3","7","1","22","0","77","10","0","0","122"
"Mozambique","19","32","15","7","105","0","67","283","0","0","528"
"Namibia","15","33","5","0","47","2","2","49","0","0","153"
"Niger","14","16","4","0","3","2","0","4","0","0","43"
"Nigeria","35","23","15","13","102","5","10","256","0","0","459"
"Réunion","4","7","2","0","33","17","73","22","0","0","158"
"Rwanda","24","20","4","2","7","0","4","134","0","0","195"
"Saint Helena, Ascension and Tristan da Cunha","3","21","2","0","20","1","95","45","1","0","188"
"Sao Tome and Principe","4","12","6","3","38","4","1","72","0","0","140"
"Senegal","21","24","9","0","89","15","1","23","0","0","182"
"Seychelles","7","13","12","6","41","37","285","61","0","0","462"
"Sierra Leone","26","17","10","1","87","7","5","143","0","0","296"
"Somalia","18","20","5","0","59","2","60","63","0","0","227"
"South Africa","33","54","25","16","153","23","183","428","0","0","915"
"South Sudan","18","23","5","0","0","0","1","21","0","0","68"
"Sudan","19","27","6","0","52","0","50","16","0","0","170"
"Tanzania, United Republic of","45","46","41","61","219","11","137","1,010","0","0","1,570"
"Togo","16","15","9","2","67","4","1","15","0","0","129"
"Uganda","32","33","8","2","62","14","17","146","0","0","314"
"Zambia","13","22","4","0","26","12","1","57","0","0","135"
"Zimbabwe","10","22","4","6","5","0","8","80","0","0","135"
