"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Afghanistan","12","16","3","1","11","0","2","9","0","0","54"
"Armenia","7","15","7","0","4","2","6","76","0","0","117"
"Azerbaijan","7","18","8","1","14","2","5","46","1","0","102"
"Bahrain","3","8","4","0","36","0","13","0","0","0","64"
"Cyprus","7","9","5","1","39","7","15","23","2","0","108"
"Georgia","8","15","6","1","13","4","10","70","5","0","132"
"Iran, Islamic Republic of","18","29","15","4","84","2","21","15","0","0","188"
"Iraq","13","18","3","1","44","1","15","4","0","0","99"
"Israel","16","19","11","1","84","12","63","39","1","0","246"
"Jordan","13","16","6","0","28","6","55","8","0","0","132"
"Kazakhstan","17","28","1","1","24","2","5","13","1","0","92"
"Kuwait","7","11","4","0","37","0","13","0","0","0","72"
"Kyrgyzstan","5","15","3","0","12","0","3","13","0","0","51"
"Lebanon","10","12","8","0","43","11","8","100","0","0","192"
"Oman","9","13","8","0","73","3","29","8","0","0","143"
"Pakistan","24","33","17","0","117","0","18","20","0","0","229"
"Palestine, State of","5","16","4","0","16","2","1","11","0","0","55"
"Qatar","4","10","3","0","42","0","13","0","0","0","72"
"Saudi Arabia","11","19","3","0","72","1","59","5","0","0","170"
"Syrian Arab Republic","15","18","9","0","64","11","12","44","0","0","173"
"Tajikistan","7","15","7","0","7","0","3","11","1","0","51"
"Turkey","18","22","20","10","148","47","42","135","8","0","450"
"Turkmenistan","9","19","6","0","14","1","6","4","0","0","59"
"United Arab Emirates","8","13","5","0","53","0","15","0","0","0","94"
"Uzbekistan","10","19","9","0","9","1","2","16","0","0","66"
"Yemen","12","17","7","1","67","2","66","165","0","0","337"
