"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Anguilla","1","0","8","0","49","0","10","3","0","0","71"
"Antigua and Barbuda","2","3","8","0","49","0","11","2","0","0","75"
"Aruba","2","1","2","0","51","1","1","5","0","0","63"
"Bahamas","5","9","13","0","60","1","12","28","0","0","128"
"Barbados","3","3","7","0","48","0","11","4","0","0","76"
"Bermuda","4","3","4","0","35","2","28","8","0","0","84"
"Bonaire, Sint Eustatius and Saba","3","1","7","0","52","0","11","6","0","0","80"
"Cayman Islands","1","1","11","0","44","2","12","23","0","0","94"
"Cuba","10","17","44","49","66","0","23","192","0","0","401"
"Curaçao","3","1","5","0","47","0","11","4","0","0","71"
"Dominica","3","6","3","2","50","0","11","20","0","0","95"
"Dominican Republic","6","17","59","35","47","0","19","90","0","0","273"
"Grenada","3","2","7","1","49","0","10","7","0","0","79"
"Guadeloupe","4","4","14","3","48","1","15","19","0","0","108"
"Haiti","3","17","66","45","61","0","14","219","0","0","425"
"Jamaica","7","10","29","20","48","0","15","214","0","0","343"
"Martinique","1","5","9","2","46","2","0","19","1","0","85"
"Montserrat","2","3","4","1","46","0","11","8","0","0","75"
"Puerto Rico","2","12","16","14","50","0","0","73","1","0","168"
"Saint Barthélemy","1","0","4","0","36","0","11","2","0","0","54"
"Saint Kitts and Nevis","2","2","6","1","47","0","10","5","0","0","73"
"Saint Lucia","2","7","9","0","47","0","11","16","0","0","92"
"Saint Martin (French part)","2","1","7","0","45","0","10","2","0","0","67"
"Saint Vincent and the Grenadines","2","4","8","1","48","0","10","8","0","0","81"
"Sint Maarten (Dutch part)","2","1","7","0","45","0","10","1","0","0","66"
"Trinidad and Tobago","3","5","7","4","62","0","10","58","0","0","149"
"Turks and Caicos Islands","2","3","8","0","46","0","10","10","0","0","79"
"Virgin Islands, British","1","2","15","2","48","0","10","25","0","0","103"
"Virgin Islands, U.S.","1","3","14","3","48","0","0","22","0","0","91"
