"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Åland Islands","0","0","0","0","0","0","0","1","0","0","1"
"Albania","4","8","5","1","60","51","22","5","0","0","156"
"Andorra","2","3","1","0","0","3","5","1","0","0","15"
"Austria","5","13","1","0","13","43","64","38","50","0","227"
"Belgium","3","8","0","0","19","6","16","3","23","0","78"
"Bosnia and Herzegovina","5","9","3","1","51","19","38","5","1","0","132"
"Bulgaria","10","18","2","0","21","32","40","13","9","0","145"
"Croatia","10","16","4","2","80","50","44","11","26","0","243"
"Czechia","4","10","0","0","2","6","41","31","33","0","127"
"Denmark","2","10","0","0","26","5","15","2","30","0","90"
"Estonia","1","11","0","0","4","4","6","2","28","0","56"
"Faroe Islands","4","5","0","0","20","0","0","1","4","0","34"
"Finland","2","12","0","0","5","3","12","4","30","0","68"
"France","13","19","5","4","75","95","129","65","59","0","464"
"Germany","7","12","0","0","34","30","68","51","53","0","255"
"Gibraltar","4","10","0","1","34","5","3","1","0","0","58"
"Greece","12","19","10","4","98","179","183","86","9","0","600"
"Greenland","9","6","0","0","12","0","0","1","2","0","30"
"Guernsey","0","0","0","0","13","1","0","0","0","0","14"
"Holy See (Vatican City State)","2","0","0","0","0","0","0","0","0","0","2"
"Hungary","6","14","1","0","11","8","38","45","20","0","143"
"Iceland","6","7","0","0","20","0","1","0","6","0","40"
"Ireland","4","9","1","0","41","4","3","8","20","0","90"
"Isle of Man","0","0","0","0","7","0","0","1","0","0","8"
"Italy","9","19","4","12","72","86","189","122","47","0","560"
"Jersey","0","0","0","0","13","2","0","0","1","0","16"
"Latvia","1","13","0","0","6","4","12","1","10","0","47"
"Liechtenstein","0","3","0","0","0","2","5","1","4","0","15"
"Lithuania","1","11","0","0","6","3","7","2","14","0","44"
"Luxembourg","0","3","0","0","1","5","3","3","2","0","17"
"Malta","3","6","1","0","43","5","4","4","1","0","67"
"Monaco","4","0","0","0","37","2","2","2","0","0","47"
"Montenegro","7","13","4","1","52","23","54","6","4","0","164"
"Netherlands","4","10","0","0","22","5","12","3","26","0","82"
"North Macedonia","7","14","2","0","13","70","28","6","7","0","147"
"Norway","8","11","0","0","32","3","12","20","48","0","134"
"Poland","4","13","0","0","8","7","35","16","29","0","112"
"Portugal","15","17","5","2","88","87","168","144","12","0","538"
"Romania","14","18","2","0","21","25","67","14","9","0","170"
"San Marino","1","1","0","0","2","1","0","0","0","0","5"
"Serbia","8","14","1","0","14","8","59","9","7","0","120"
"Slovakia","5","13","0","0","7","7","37","32","33","0","134"
"Slovenia","8","11","2","2","52","33","68","13","21","0","210"
"Spain","18","24","19","7","98","167","183","287","47","0","850"
"Svalbard and Jan Mayen","4","4","0","0","3","0","0","1","0","0","12"
"Sweden","1","12","0","0","24","4","15","12","48","0","116"
"Switzerland","5","10","0","1","9","10","73","20","43","0","171"
"United Kingdom","4","11","1","0","60","7","21","53","40","0","197"
