"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"American Samoa","1","6","6","0","24","5","61","2","0","0","105"
"Australia","69","66","76","47","214","182","412","766","13","0","1,845"
"Christmas Island","2","5","3","0","22","0","20","2","0","0","54"
"Cocos (Keeling) Islands","2","1","1","0","24","0","21","0","0","0","49"
"Cook Islands","1","11","3","0","20","0","33","13","0","0","81"
"Fiji","7","14","16","0","33","81","108","95","0","0","354"
"French Polynesia","0","34","3","0","38","31","35","56","0","0","197"
"Guam","3","12","5","0","25","6","55","5","0","0","111"
"Kiribati","2","6","2","0","24","1","81","0","0","0","116"
"Marshall Islands","1","5","4","0","27","1","73","0","0","0","111"
"Micronesia, Federated States of","6","13","8","0","32","3","118","8","0","0","188"
"Nauru","2","3","0","0","20","0","69","0","0","0","94"
"New Caledonia","8","17","72","0","51","28","102","719","4","0","1,001"
"New Zealand","9","67","52","3","48","39","26","21","13","0","278"
"Niue","1","7","4","0","18","0","31","2","0","0","63"
"Norfolk Island","1","11","2","0","14","12","12","2","0","0","54"
"Northern Mariana Islands","3","13","4","0","24","4","54","6","0","0","108"
"Palau","5","6","4","0","29","40","109","5","0","0","198"
"Papua New Guinea","51","38","13","28","132","24","182","641","3","0","1,112"
"Pitcairn","0","9","0","0","12","5","12","10","0","0","48"
"Samoa","2","5","4","0","26","1","64","10","0","0","112"
"Solomon Islands","24","21","7","3","43","2","148","53","0","0","301"
"Tokelau","0","0","3","0","22","0","36","0","0","0","61"
"Tonga","2","5","4","0","29","25","45","10","0","0","120"
"Tuvalu","2","0","4","0","21","1","78","0","0","0","106"
"United States Minor Outlying Islands","0","10","1","0","18","0","48","0","0","0","77"
"Vanuatu","8","8","5","0","30","3","89","15","0","0","158"
"Wallis and Futuna","0","7","2","0","21","0","64","3","0","0","97"
