"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","1","0","0","0","0","0","8"
"Bouvet Island","1","1","0","0","0","0","0","0","0","0","2"
"French Southern Territories","3","14","7","0","10","0","0","2","0","0","36"
"Heard Island and McDonald Islands","1","10","0","0","2","0","0","0","0","0","13"
"South Georgia and the South Sandwich Islands","3","6","0","0","0","0","0","0","0","0","9"
"Anguilla","1","0","8","0","49","0","10","3","0","0","71"
"Antigua and Barbuda","2","3","8","0","49","0","11","2","0","0","75"
"Aruba","2","1","2","0","51","1","1","5","0","0","63"
"Bahamas","5","9","13","0","60","1","12","28","0","0","128"
"Barbados","3","3","7","0","48","0","11","4","0","0","76"
"Bermuda","4","3","4","0","35","2","28","8","0","0","84"
"Bonaire, Sint Eustatius and Saba","3","1","7","0","52","0","11","6","0","0","80"
"Cayman Islands","1","1","11","0","44","2","12","23","0","0","94"
"Cuba","10","17","44","49","66","0","23","192","0","0","401"
"Curaçao","3","1","5","0","47","0","11","4","0","0","71"
"Dominica","3","6","3","2","50","0","11","20","0","0","95"
"Dominican Republic","6","17","59","35","47","0","19","90","0","0","273"
"Grenada","3","2","7","1","49","0","10","7","0","0","79"
"Guadeloupe","4","4","14","3","48","1","15","19","0","0","108"
"Haiti","3","17","66","45","61","0","14","219","0","0","425"
"Jamaica","7","10","29","20","48","0","15","214","0","0","343"
"Martinique","1","5","9","2","46","2","0","19","1","0","85"
"Montserrat","2","3","4","1","46","0","11","8","0","0","75"
"Puerto Rico","2","12","16","14","50","0","0","73","1","0","168"
"Saint Barthélemy","1","0","4","0","36","0","11","2","0","0","54"
"Saint Kitts and Nevis","2","2","6","1","47","0","10","5","0","0","73"
"Saint Lucia","2","7","9","0","47","0","11","16","0","0","92"
"Saint Martin (French part)","2","1","7","0","45","0","10","2","0","0","67"
"Saint Vincent and the Grenadines","2","4","8","1","48","0","10","8","0","0","81"
"Sint Maarten (Dutch part)","2","1","7","0","45","0","10","1","0","0","66"
"Trinidad and Tobago","3","5","7","4","62","0","10","58","0","0","149"
"Turks and Caicos Islands","2","3","8","0","46","0","10","10","0","0","79"
"Virgin Islands, British","1","2","15","2","48","0","10","25","0","0","103"
"Virgin Islands, U.S.","1","3","14","3","48","0","0","22","0","0","91"
"China","78","94","55","140","207","15","71","713","8","0","1,381"
"Hong Kong","6","21","7","6","33","1","9","16","0","0","99"
"Japan","29","50","26","44","166","58","145","75","15","0","608"
"Korea, Democratic People's Republic of","10","30","2","1","51","0","4","20","2","0","120"
"Korea, Republic of","12","34","3","5","69","0","8","38","3","0","172"
"Macao","0","4","1","0","21","0","1","0","0","0","27"
"Mongolia","11","24","0","0","1","0","2","0","4","0","42"
"Taiwan, Province of China","12","24","14","10","143","2","129","88","2","0","424"
"Åland Islands","0","0","0","0","0","0","0","1","0","0","1"
"Albania","4","8","5","1","60","51","22","5","0","0","156"
"Andorra","2","3","1","0","0","3","5","1","0","0","15"
"Austria","5","13","1","0","13","43","64","38","50","0","227"
"Belgium","3","8","0","0","19","6","16","3","23","0","78"
"Bosnia and Herzegovina","5","9","3","1","51","19","38","5","1","0","132"
"Bulgaria","10","18","2","0","21","32","40","13","9","0","145"
"Croatia","10","16","4","2","80","50","44","11","26","0","243"
"Czechia","4","10","0","0","2","6","41","31","33","0","127"
"Denmark","2","10","0","0","26","5","15","2","30","0","90"
"Estonia","1","11","0","0","4","4","6","2","28","0","56"
"Faroe Islands","4","5","0","0","20","0","0","1","4","0","34"
"Finland","2","12","0","0","5","3","12","4","30","0","68"
"France","13","19","5","4","75","95","129","65","59","0","464"
"Germany","7","12","0","0","34","30","68","51","53","0","255"
"Gibraltar","4","10","0","1","34","5","3","1","0","0","58"
"Greece","12","19","10","4","98","179","183","86","9","0","600"
"Greenland","9","6","0","0","12","0","0","1","2","0","30"
"Guernsey","0","0","0","0","13","1","0","0","0","0","14"
"Holy See (Vatican City State)","2","0","0","0","0","0","0","0","0","0","2"
