"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Antarctica","0","0","0","0","0","0","0","1","7","8","0","5","162","35","210"
"Bouvet Island","0","0","0","0","0","0","0","0","2","2","0","0","94","3","99"
"French Southern Territories","1","0","1","1","0","2","7","11","18","36","0","8","983","56","1,084"
"Heard Island and McDonald Islands","0","0","0","0","0","0","0","4","9","13","0","1","126","7","147"
"South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","4","5","9","0","7","195","13","224"
"Anguilla","1","0","1","0","0","1","9","20","43","72","0","21","1,153","66","1,313"
"Antigua and Barbuda","3","0","3","0","0","3","12","21","44","77","0","26","1,257","66","1,429"
"Aruba","0","0","0","0","0","0","7","18","37","62","0","24","1,095","53","1,234"
"Bahamas","2","0","2","1","0","3","14","33","58","105","0","39","1,709","115","1,970"
"Barbados","1","0","1","3","0","4","13","22","42","77","0","28","1,264","68","1,438"
"Bermuda","9","0","9","1","1","11","31","16","33","80","0","23","930","69","1,111"
"Bonaire, Sint Eustatius and Saba","1","0","1","0","0","1","11","18","50","79","0","27","1,247","74","1,428"
"Cayman Islands","1","0","1","0","0","1","12","27","35","74","0","32","1,170","70","1,347"
"Cuba","7","0","7","3","0","10","38","92","87","217","0","70","1,798","144","2,236"
"Curaçao","0","0","0","0","0","0","10","20","40","70","0","24","1,147","77","1,318"
"Dominica","1","0","1","1","0","2","11","25","44","80","0","32","1,292","69","1,474"
"Dominican Republic","8","0","8","10","0","18","44","95","84","223","0","68","1,485","79","1,863"
"Grenada","0","0","0","0","0","0","11","20","46","77","0","26","1,261","70","1,434"
"Guadeloupe","7","0","7","5","0","12","17","28","49","94","0","35","1,234","68","1,438"
"Haiti","9","0","9","18","0","27","104","70","82","256","0","57","1,424","76","1,822"
"Jamaica","3","0","3","5","0","8","25","51","59","135","0","43","1,355","76","1,612"
"Martinique","6","0","6","3","0","9","11","24","35","70","0","27","1,190","59","1,352"
