"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Anguilla","1","0","1","0","0","1","9","20","43","72","0","21","1,153","66","1,313"
"Antigua and Barbuda","3","0","3","0","0","3","12","21","44","77","0","26","1,257","66","1,429"
"Aruba","0","0","0","0","0","0","7","18","37","62","0","24","1,095","53","1,234"
"Bahamas","2","0","2","1","0","3","14","33","58","105","0","39","1,709","115","1,970"
"Barbados","1","0","1","3","0","4","13","22","42","77","0","28","1,264","68","1,438"
"Bermuda","9","0","9","1","1","11","31","16","33","80","0","23","930","69","1,111"
"Bonaire, Sint Eustatius and Saba","1","0","1","0","0","1","11","18","50","79","0","27","1,247","74","1,428"
"Cayman Islands","1","0","1","0","0","1","12","27","35","74","0","32","1,170","70","1,347"
"Cuba","7","0","7","3","0","10","38","92","87","217","0","70","1,798","144","2,236"
"Curaçao","0","0","0","0","0","0","10","20","40","70","0","24","1,147","77","1,318"
"Dominica","1","0","1","1","0","2","11","25","44","80","0","32","1,292","69","1,474"
"Dominican Republic","8","0","8","10","0","18","44","95","84","223","0","68","1,485","79","1,863"
"Grenada","0","0","0","0","0","0","11","20","46","77","0","26","1,261","70","1,434"
"Guadeloupe","7","0","7","5","0","12","17","28","49","94","0","35","1,234","68","1,438"
"Haiti","9","0","9","18","0","27","104","70","82","256","0","57","1,424","76","1,822"
"Jamaica","3","0","3","5","0","8","25","51","59","135","0","43","1,355","76","1,612"
"Martinique","6","0","6","3","0","9","11","24","35","70","0","27","1,190","59","1,352"
"Montserrat","0","0","0","1","0","1","9","19","43","71","0","25","1,152","57","1,305"
"Puerto Rico","5","0","5","6","0","11","19","33","48","100","0","41","1,492","85","1,723"
"Saint Barthélemy","0","0","0","0","0","0","6","15","34","55","0","15","821","38","929"
"Saint Kitts and Nevis","1","0","1","0","0","1","10","17","45","72","0","26","1,205","63","1,367"
"Saint Lucia","3","0","3","0","0","3","10","29","42","81","0","28","1,251","60","1,423"
"Saint Martin (French part)","0","0","0","1","0","1","9","17","43","69","0","17","1,046","64","1,196"
"Saint Vincent and the Grenadines","1","0","1","0","0","1","9","24","46","79","0","28","1,282","67","1,457"
"Sint Maarten (Dutch part)","0","0","0","1","0","1","9","17","43","69","0","15","1,023","57","1,164"
"Trinidad and Tobago","0","0","0","0","0","0","15","25","57","97","1","40","1,969","89","2,196"
"Turks and Caicos Islands","0","0","0","0","0","0","7","21","45","73","0","28","1,169","66","1,336"
"Virgin Islands, British","0","0","0","2","0","2","14","22","47","83","0","28","1,268","72","1,451"
"Virgin Islands, U.S.","1","0","1","5","0","6","11","23","39","73","0","28","1,253","71","1,426"
