"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"American Samoa","1","0","1","0","0","1","3","21","82","106","3","80","1,272","59","1,521"
"Australia","41","0","41","7","0","48","155","293","666","1,114","3","452","6,000","703","8,313"
"Christmas Island","4","2","6","1","0","7","2","20","38","60","0","26","949","33","1,074"
"Cocos (Keeling) Islands","0","0","0","0","0","0","1","16","37","54","0","25","848","32","959"
"Cook Islands","15","0","15","0","0","15","1","16","55","72","1","51","1,032","52","1,223"
"Fiji","1","0","1","6","0","7","28","59","179","266","3","161","1,860","137","2,428"
"French Polynesia","59","11","70","2","0","72","43","26","78","147","2","59","1,310","111","1,699"
"Guam","5","1","6","0","0","6","8","26","78","112","2","98","1,242","107","1,567"
"Kiribati","1","0","1","0","0","1","0","17","104","121","3","116","1,296","66","1,603"
"Marshall Islands","0","0","0","0","0","0","1","16","100","117","3","116","1,345","65","1,646"
"Micronesia, Federated States of","2","0","2","1","0","3","7","31","148","186","3","147","1,679","129","2,146"
"Nauru","0","0","0","0","0","0","1","11","85","97","0","109","1,040","41","1,287"
"New Caledonia","5","0","5","3","0","8","44","70","171","285","3","157","2,236","193","2,879"
"New Zealand","23","0","23","8","0","31","46","81","125","252","0","64","1,091","210","1,640"
"Niue","0","0","0","0","0","0","1","14","48","63","0","52","892","36","1,043"
"Norfolk Island","8","0","8","0","0","8","2","12","43","57","0","23","645","28","761"
"Northern Mariana Islands","2","0","2","0","0","2","7","25","77","109","3","104","1,311","73","1,602"
"Palau","1","0","1","13","0","14","28","37","135","200","4","148","1,936","113","2,402"
"Papua New Guinea","1","0","1","2","0","3","65","98","318","481","3","293","4,289","577","5,644"
"Pitcairn","0","0","0","0","0","0","1","7","36","44","1","23","527","28","623"
"Samoa","2","0","2","0","0","2","4","20","81","105","3","82","1,371","79","1,642"
"Solomon Islands","2","0","2","3","0","5","16","41","198","255","3","201","2,286","149","2,896"
"Tokelau","0","0","0","0","0","0","1","13","51","65","2","56","908","36","1,067"
"Tonga","3","0","3","2","0","5","13","24","78","115","3","68","1,449","62","1,700"
"Tuvalu","0","0","0","0","0","0","2","15","91","108","3","111","1,102","48","1,372"
"United States Minor Outlying Islands","1","0","1","0","0","1","4","9","67","80","1","74","1,246","55","1,457"
"Vanuatu","1","0","1","0","0","1","2","24","122","148","3","133","1,853","97","2,235"
"Wallis and Futuna","0","0","0","0","0","0","2","14","81","97","0","92","1,222","51","1,462"
