"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Argentina","3","3","6","6","0","12","50","98","142","290","0","130","2,411","188","3,025"
"Bolivia, Plurinational States of","0","0","0","9","0","9","34","33","86","153","2","94","2,533","137","2,919"
"Brazil","11","2","13","28","0","41","240","326","448","1,014","9","355","7,631","1,216","10,238"
"Chile","1","0","1","3","0","4","24","65","87","176","0","83","1,315","204","1,779"
"Colombia","1","0","1","43","0","44","124","255","384","763","2","277","5,781","601","7,425"
"Ecuador","8","0","8","47","0","55","125","196","299","620","2","206","3,791","390","5,017"
"Falkland Islands (Malvinas)","1","0","1","0","0","1","0","8","11","19","0","10","281","17","328"
"French Guiana","0","0","0","0","0","0","13","24","57","94","1","40","2,350","106","2,591"
"Guyana","0","0","0","0","0","0","12","43","77","132","2","54","2,593","114","2,895"
"Paraguay","0","3","3","2","0","5","6","13","37","56","0","62","1,233","41","1,395"
"Peru","1","0","1","10","0","11","56","159","213","428","2","199","4,241","488","5,359"
"Suriname","0","0","0","0","0","0","10","31","53","94","0","51","2,463","109","2,717"
"Uruguay","2","0","2","2","0","4","23","39","61","123","0","52","1,062","64","1,303"
"Venezuela, Bolivarian Republic of","2","0","2","25","0","27","111","170","230","511","1","208","4,303","371","5,396"
