"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Bangladesh","0","0","0","0","0","0","39","71","89","199","0","85","1,700","106","2,090"
"Bhutan","0","0","0","0","0","0","8","20","40","68","0","50","769","10","897"
"British Indian Ocean Territory","0","0","0","0","0","0","3","17","83","103","2","102","1,068","46","1,321"
"Brunei Darussalam","0","0","0","0","0","0","13","59","104","176","0","130","1,661","92","2,059"
"Cambodia","0","0","0","1","0","1","42","79","174","295","0","176","2,253","196","2,920"
"Disputed Territory","0","0","0","0","0","0","1","7","15","23","0","5","1,113","35","1,176"
"India","0","0","0","6","0","6","115","286","426","827","2","359","4,598","948","6,734"
"Indonesia","3","0","3","23","3","29","193","371","676","1,240","4","679","6,718","1,527","10,171"
"Lao People's Democratic Republic","1","0","1","2","0","3","44","60","104","208","0","98","1,592","234","2,133"
"Malaysia","1","0","1","13","0","14","107","210","457","774","3","449","4,332","509","6,068"
"Maldives","0","0","0","0","0","0","6","28","63","97","2","94","1,360","73","1,626"
"Myanmar","0","0","0","1","0","1","48","104","190","342","3","276","3,343","444","4,408"
"Nepal","0","0","0","0","0","0","15","33","61","109","0","75","1,343","69","1,596"
"Philippines","15","0","15","8","0","23","63","212","433","708","4","354","3,814","639","5,534"
"Singapore","1","0","1","1","0","2","24","61","219","304","3","231","1,947","159","2,645"
"Sri Lanka","18","0","18","5","0","23","118","212","201","531","2","179","2,134","168","3,032"
"Thailand","2","0","2","5","0","7","65","148","352","565","2","374","4,127","539","5,609"
"Timor-Leste","0","0","0","0","0","0","7","21","28","56","0","39","1,478","65","1,638"
"Viet Nam","1","0","1","9","0","10","93","206","317","616","2","262","3,577","680","5,138"
