"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Angola","0","0","0","0","0","0","25","55","89","169","0","68","2,938","212","3,387"
"Benin","0","0","0","0","0","0","27","36","60","123","0","56","1,918","95","2,192"
"Botswana","0","0","0","0","0","0","5","11","18","34","0","24","1,338","7","1,403"
"Burkina Faso","0","1","1","0","0","1","9","13","14","36","0","23","930","9","999"
"Burundi","0","0","0","0","0","0","7","20","34","61","0","36","1,172","37","1,306"
"Cabo Verde","2","0","2","0","0","2","13","27","45","85","0","31","922","91","1,131"
"Cameroon","0","0","0","6","0","6","82","135","129","346","0","85","2,962","203","3,596"
"Central African Republic","0","0","0","0","0","0","11","16","26","53","0","31","1,596","54","1,734"
"Chad","0","1","1","1","0","2","12","14","25","51","0","24","945","13","1,034"
"Comoros","0","0","0","1","0","1","9","37","95","141","0","119","1,385","88","1,733"
"Congo","0","0","0","0","0","0","19","35","75","129","0","52","2,214","132","2,527"
"Congo, The Democratic Republic of the","0","0","0","4","0","4","41","98","173","312","0","112","4,099","412","4,935"
"Côte d'Ivoire","0","0","0","2","0","2","30","59","95","184","0","91","2,252","124","2,651"
"Djibouti","0","0","0","0","0","0","12","23","94","129","0","120","1,508","116","1,873"
"Equatorial Guinea","0","0","0","0","0","0","22","45","64","131","0","48","1,689","106","1,974"
"Eritrea","0","0","0","0","0","0","18","38","105","161","0","135","1,700","120","2,116"
"Eswatini","0","0","0","0","0","0","5","10","20","35","0","26","1,123","5","1,189"
"Ethiopia","0","0","0","3","0","3","19","46","63","128","0","52","1,657","76","1,913"
"Gabon","0","0","0","0","0","0","19","46","76","141","0","56","2,262","153","2,612"
"Gambia","0","0","0","0","0","0","26","37","66","129","0","52","1,667","102","1,950"
"Ghana","0","0","0","2","0","2","40","45","89","174","0","86","2,350","117","2,727"
"Guinea","0","0","0","1","0","1","30","65","113","208","0","81","2,227","134","2,650"
"Guinea-Bissau","0","0","0","0","0","0","24","32","63","119","0","52","1,629","99","1,899"
"Kenya","2","0","2","18","0","20","57","83","173","313","2","188","3,744","262","4,511"
"Lesotho","0","0","0","0","0","0","0","7","9","16","0","19","505","3","543"
"Liberia","0","0","0","2","0","2","32","51","80","163","0","73","1,929","114","2,279"
"Madagascar","13","0","13","10","0","23","158","363","353","874","2","327","2,501","473","4,190"
"Malawi","1","0","1","4","0","5","29","28","36","93","0","65","1,800","60","2,019"
"Mali","0","1","1","0","0","1","8","14","25","47","0","27","1,069","12","1,156"
"Mauritania","0","1","1","0","0","1","24","39","79","142","0","55","1,507","109","1,814"
"Mauritius","46","0","46","1","0","47","19","50","125","194","2","114","1,518","144","2,018"
"Mayotte","5","0","5","0","0","5","4","26","89","119","0","113","1,225","63","1,525"
"Mozambique","1","0","1","2","0","3","26","69","160","255","2","190","3,672","230","4,350"
"Namibia","1","0","1","0","0","1","15","35","58","108","0","52","2,146","92","2,399"
"Niger","0","1","1","0","0","1","8","13","21","42","0","23","818","6","890"
"Nigeria","0","1","1","3","0","4","41","73","97","211","0","81","2,735","138","3,166"
"Réunion","21","0","21","1","0","22","11","29","99","139","0","101","1,331","96","1,688"
"Rwanda","1","0","1","0","0","1","12","20","31","63","0","34","1,165","19","1,282"
"Saint Helena, Ascension and Tristan da Cunha","29","0","29","12","0","41","48","59","41","148","0","17","615","53","862"
"Sao Tome and Principe","0","0","0","0","0","0","10","26","36","72","0","19","767","96","954"
"Senegal","0","1","1","0","0","1","29","56","85","170","0","68","2,029","134","2,402"
"Seychelles","20","0","20","29","0","49","89","161","158","408","2","124","1,659","115","2,328"
"Sierra Leone","0","0","0","1","0","1","29","46","85","160","0","78","1,993","126","2,357"
"Somalia","0","0","0","1","0","1","17","39","118","174","0","143","2,495","230","3,042"
"South Africa","8","0","8","5","0","13","88","201","230","519","2","230","4,289","346","5,394"
"South Sudan","0","0","0","0","0","0","8","16","25","49","0","23","1,282","21","1,375"
"Sudan","0","1","1","0","0","1","20","34","107","161","0","129","2,290","137","2,718"
"Tanzania, United Republic of","2","1","3","61","1","65","128","173","274","575","0","236","4,380","379","5,573"
"Togo","0","0","0","1","0","1","30","31","60","121","0","56","1,916","93","2,186"
"Uganda","0","0","0","28","0","28","48","43","87","178","0","68","2,162","126","2,534"
"Zambia","0","0","0","0","0","0","11","29","41","81","0","42","2,151","74","2,348"
"Zimbabwe","0","0","0","1","0","1","10","17","31","58","0","32","1,729","26","1,845"
