"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Afghanistan","0","0","0","0","0","0","4","13","35","52","0","31","667","21","771"
"Armenia","0","0","0","0","0","0","7","9","26","42","0","40","485","18","585"
"Azerbaijan","0","1","1","2","0","3","18","14","30","62","0","43","600","45","751"
"Bahrain","0","0","0","0","0","0","11","15","39","65","0","55","664","32","816"
"Cyprus","0","0","0","1","0","1","14","28","45","87","0","40","672","62","861"
"Georgia","0","0","0","0","0","0","14","10","38","62","0","50","614","24","750"
"Iran, Islamic Republic of","0","1","1","1","0","2","31","51","105","187","0","106","1,799","163","2,256"
"Iraq","0","0","0","1","0","1","13","20","65","98","0","73","987","48","1,206"
"Israel","4","0","4","0","0","4","28","51","132","211","0","136","1,661","152","2,164"
"Jordan","0","0","0","0","0","0","5","27","95","127","0","116","1,307","97","1,647"
"Kazakhstan","1","1","2","3","0","5","23","21","44","88","0","35","796","59","980"
"Kuwait","1","0","1","0","0","1","9","18","47","74","0","57","783","35","950"
"Kyrgyzstan","0","0","0","0","0","0","1","13","25","39","0","25","479","14","557"
"Lebanon","0","0","0","0","0","0","13","30","52","95","0","42","752","66","955"
"Oman","0","0","0","0","0","0","14","45","83","142","0","95","1,659","131","2,027"
"Pakistan","0","0","0","0","0","0","27","76","129","232","0","108","1,823","125","2,288"
"Palestine, State of","0","0","0","0","0","0","5","17","23","45","0","24","386","22","477"
"Qatar","0","0","0","0","0","0","12","18","45","75","0","55","689","25","844"
"Saudi Arabia","1","0","1","0","0","1","14","43","116","173","2","141","1,698","152","2,167"
"Syrian Arab Republic","1","0","1","6","0","7","22","41","71","134","0","51","898","85","1,169"
"Tajikistan","0","0","0","2","0","2","6","12","25","43","0","21","485","24","573"
"Turkey","4","0","4","12","0","16","78","112","129","319","0","106","1,349","184","1,962"
"Turkmenistan","0","1","1","1","0","2","16","15","31","62","0","30","608","43","744"
"United Arab Emirates","0","0","0","0","0","0","13","35","53","101","0","60","1,121","58","1,340"
"Uzbekistan","0","0","0","3","0","3","14","13","29","56","0","28","539","21","644"
"Yemen","2","0","2","1","0","3","12","40","124","176","0","156","2,021","188","2,543"
